"space","time","u","f"
0.04,0.16,-0.002131097726774319,0.12434494358242741
0.04,0.17,-0.0022076726469095944,0.12434494358242741
0.04,0.18,-0.0022797631977735868,0.12434494358242741
0.04,0.19,-0.002347369379366297,0.12434494358242741
0.04,0.2,-0.0024104911916877237,0.12434494358242741
0.04,0.21,-0.002469856088534008,0.12434494358242741
0.04,0.22,-0.002525836338056203,0.12434494358242741
0.04,0.23,-0.002578431940254307,0.12434494358242741
0.04,0.24,-0.0026276428951283216,0.12434494358242741
0.04,0.25,-0.0026734692026782448,0.12434494358242741
0.04,0.26,-0.0027164445557842256,0.12434494358242741
0.04,0.27,-0.002756832546392102,0.12434494358242741
0.04,0.28,-0.00279463317450188,0.12434494358242741
0.04,0.29,-0.002829846440113557,0.12434494358242741
0.04,0.3,-0.0028624723432271347,0.12434494358242741
0.04,0.31,-0.0028928980891502402,0.12434494358242741
0.04,0.32,-0.002921302567590269,0.12434494358242741
0.04,0.33,-0.0029476857785472196,0.12434494358242741
0.04,0.34,-0.0029720477220210925,0.12434494358242741
0.04,0.35000000000000003,-0.0029943883980118875,0.12434494358242741
0.04,0.36,-0.0030149832152903677,0.12434494358242741
0.04,0.37,-0.0030339422515988706,0.12434494358242741
0.04,0.38,-0.003051265506937398,0.12434494358242741
0.04,0.39,-0.0030669529813059484,0.12434494358242741
0.04,0.4,-0.003081004674704522,0.12434494358242741
0.04,0.41000000000000003,-0.0030936087874732297,0.12434494358242741
0.04,0.42,-0.0031048164423629955,0.12434494358242741
0.04,0.43,-0.0031146276393738156,0.12434494358242741
0.04,0.44,-0.003123042378505688,0.12434494358242741
0.04,0.45,-0.0031300606597586132,0.12434494358242741
0.04,0.46,-0.0031358002961415937,0.12434494358242741
0.04,0.47000000000000003,-0.003140258018701402,0.12434494358242741
0.04,0.48,-0.0031434338274380423,0.12434494358242741
0.04,0.49,-0.003145327722351516,0.12434494358242741
0.04,0.5,-0.0031459397034418217,0.12434494358242741
0.04,0.51,-0.0031453277223515166,0.12434494358242741
0.04,0.52,-0.003143433827438043,0.12434494358242741
0.04,0.53,-0.0031402580187014015,0.12434494358242741
0.04,0.54,-0.0031358002961415937,0.12434494358242741
0.04,0.55,-0.003130060659758618,0.12434494358242741
0.04,0.56,-0.003123042378505689,0.12434494358242741
0.04,0.5700000000000001,-0.003114627639373816,0.12434494358242741
0.04,0.58,-0.0031048164423629955,0.12434494358242741
0.04,0.59,-0.0030936087874732297,0.12434494358242741
0.04,0.6,-0.0030810046747045176,0.12434494358242741
0.04,0.61,-0.003066952981305943,0.12434494358242741
0.04,0.62,-0.003051265506937395,0.12434494358242741
0.04,0.63,-0.00303394225159887,0.12434494358242741
0.04,0.64,-0.00301498321529037,0.12434494358242741
0.04,0.65,-0.002994388398011893,0.12434494358242741
0.04,0.66,-0.0029720477220210985,0.12434494358242741
0.04,0.67,-0.0029476857785472256,0.12434494358242741
0.04,0.68,-0.0029213025675902753,0.12434494358242741
0.04,0.6900000000000001,-0.0028928980891502467,0.12434494358242741
0.04,0.7000000000000001,-0.0028624723432271394,0.12434494358242741
0.04,0.71,-0.002829846440113564,0.12434494358242741
0.04,0.72,-0.002794633174501886,0.12434494358242741
0.04,0.73,-0.0027568325463921085,0.12434494358242741
0.04,0.74,-0.0027164445557842313,0.12434494358242741
0.04,0.75,-0.002673469202678255,0.12434494358242741
0.04,0.76,-0.0026276428951283325,0.12434494358242741
0.04,0.77,-0.0025784319402543175,0.12434494358242741
0.04,0.78,-0.0025258363380562115,0.12434494358242741
0.04,0.79,-0.0024698560885340172,0.12434494358242741
0.04,0.8,-0.0024104911916877315,0.12434494358242741
0.04,0.81,-0.0023473693793663038,0.12434494358242741
0.04,0.8200000000000001,-0.0022797631977735937,0.12434494358242741
0.04,0.8300000000000001,-0.002207672646909601,0.12434494358242741
0.04,0.84,-0.002131097726774326,0.12434494358242741
0.04,0.85,-0.0020500384373677667,0.12434494358242741
0.04,0.86,-0.001963982451577873,0.12434494358242741
0.04,0.87,-0.0018719417031783348,0.12434494358242741
0.04,0.88,-0.0017739161921691555,0.12434494358242741
0.04,0.89,-0.001669905918550335,0.12434494358242741
0.04,0.9,-0.001559910882321873,0.12434494358242741
0.04,0.91,-0.001443224515643929,0.12434494358242741
0.04,0.92,-0.0013185181205223177,0.12434494358242741
0.04,0.93,-0.0011857916969570375,0.12434494358242741
0.04,0.9400000000000001,-0.0010450452449480897,0.12434494358242741
0.04,0.9500000000000001,-0.0008962787644954729,0.12434494358242741
0.04,0.96,-0.000738565856555559,0.12434494358242741
0.04,0.97,-0.0005700815261360531,0.12434494358242741
0.04,0.98,-0.0003908257732369582,0.12434494358242741
0.04,0.99,-0.00020079859785827382,0.12434494358242741
0.04,1.,-4.385485400145286e-19,0.12434494358242741
0.05,0.,-1.5178830414797062e-18,0.15450849718747373
0.05,0.01,-0.0002498559092814145,0.15450849718747373
0.05,0.02,-0.00048624754046334105,0.15450849718747373
0.05,0.03,-0.000709174893545781,0.15450849718747373
0.05,0.04,-0.0009186379685287347,0.15450849718747373
0.05,0.05,-0.001114636765412202,0.15450849718747373
0.05,0.06,-0.001299786977553631,0.15450849718747373
0.05,0.07,-0.0014749121541404741,0.15450849718747373
0.05,0.08,-0.0016400122951727315,0.15450849718747373
0.05,0.09,-0.001795087400650402,0.15450849718747373
